qid,question_text,target
2aeda193552de01f4a7f,Met a guy from India online. We've been talking for two years. He now lives in Canada and wants to meet. Should I go meet him?,0
4b37b86e17af8c8c9f86,What social media sites do you use as an indie author?,0
fcf4d30c5e05179ed98c,Where can I find a manual for Panasonic NN-CT644M?,0
82c87d70323168d59b2f,What if ESR for a 58 year male is 84 mm?,0
7108bb490c3635b8ad0f,Why is Bluetooth devices still not supported in UEFI BIOS?,0
24ac4fed5460bd9878fb,I have political science 12th CBSE exam right after psychology exam. How do I manage to revise 18 chapters in just one evening?,0
337c8a453460ca5974f2,"Atheists: Since nothing is objectively moral or immoral, what's the point of having systems in place that reward ""moral"" behavior and punish ""immoral"" behavior?",0
172d1abd1e6c3577b440,Are people in pristine places like Iceland more cancer-free than in places where there is more pollution?,0
e5930bf4e0bfc498678a,Can I have a chance to get into IISER after withdrawal of offer letter?,0
bd248dc358af2e736992,What is the of fiitjee south Delhi for class 11 and 12?,0
9045964b306ab188e7c7,What are the neurological causes why the Birmingham Roller and other roller pigeons do rapid backward somersaults while flying?,0
dfec4bd87c435119e578,What is Jeff Bridges' acting style like?,0
52b1bcb5ff9d30eff9fe,"How did the characters changed by the end of the book ""Chasing Redbird""?",0
1e032c4c4bf5a0ac7557,How can you use Snapchat on a laptop?,0
753156d7e4e737f48e94,Why do people all complain about Hitler but won’t dare to say these things to his face?,0
2bfbf41df852b2bd169e,How can I apply for translator for Netflix?,0
008e92b34135eed6fe2d,Who regulates the press/media? I.e. Who ensures that journalists & news is actually factual and unbiased? Need examples from various countries,0
fe328af8b2e62f50db1a,What is the most economical form of public transport?,0
9c5df3c7f096d1ce806a,How the ICICI mf locked account can be opened?,0
6cedbf04fb59a2b0ef8c,What are the ways in which gender equality would improve in the west if feminism were disbanded as an ideology?,0
e8251b74cf61e67e3331,How many atheists believe that self-sustaining off-Earth human habitation is a likely part of our future?,0
6cb058eab445455c477f,Can extensive interaction with foreigners end up causing an adult native speaker of a language to speak their native language with a foreign accent?,0
fe0878f75915274105d4,What should I do if I feel tired and sleepy during the day but not at bedtime?,0
f3ca049d3d05147d2df1,Will Kylo Ren sacrifice himself for Rey?,0
a0e22e266ca4bffe84c8,What is the future of diesel and gasoline engines in upcoming years?,0
6b1b953971ddddf9b84e,Why are you so loud?,0
4842dc68444206a0a16a,What are the applications of Modular Multilevel inverters?,0
064b363f4b711dabd67b,Which is the most popular Bengali song of 2017?,0
83f166dd31216cbf5385,"How much does it cost to stay in Houston Texas for a month? I'm willing to stay in a kitchen! And are there any families that can host a medical student for a month? (not for free of course?) If not, what is the best way to find a cheap place to stay?",0
10dc0bfbe9dbac32f4f8,Is it legal to use artwork from Google for your song cover?,0
41707781a46b1c1de026,The electric current comes from the main circuit is AC or DC?,0
7dd863599318b35a8d89,Do birdas in cages suffer?,0
1fadbdf2a394a3595b36,How many times do I charge Nokia 3 in 1 day?,0
219a3eada37208e56379,What is the purpose of afternoon tea?,0
45ab5ffe7b43450db986,"I am traveling to Maldives from India via Colombo, Sri Lanka. We have 14 hours in Colombo. Can I visit Colombo? Do I need Visa?",0
8ca3d774f1107962f93c,What is free software?,0
7f071a156ce4647720e2,When would you consult for your professional interior design consultancy?,0
284b5d2422755ecaed71,What if Satan requested a restraining order against God?,0
dcb0a59738e86d35eb6c,What is the job of the pancreas and why is it important?,0
258aa8f2b58070fab590,Can Scientologists still cry if they are totally cleared?,0
5a3cc2cbf416e7e74990,What was the scariest thing that ever happened to you?,0
43081439d27d0eb36c24,Have any civil services aspirants won the case against UPSC?,0
c8206b4148019214866c,At what time we need to reach at NIFT campus for orientation programme?,0
52a9089ae119fbdf396c,"How can I start to like my face? I feel so ugly. I don't know how to love myself, and when I try, I fail. I see a monster in the mirror.",0
42d48c595ecd848323ff,"What will/should be the first thing Modi/BJP Govt do, once they have majority in Rajya Sabha too?",0
db188741e8fc22645800,What is the one thing you're most proud of?,0
2d9326c0a3965dc6215d,Did Argentina fight the New World Order in the Falklands War?,0
3779e6172bea5985f211,Do you find Roy Adams attractive?,0
b7239b2ac80a6b64ded7,Does more music choice of today mean better music?,0
92b4b0fa160fb3298fca,Why do girls in India leave boys craving for them instead of directly telling them that they are not interested?,0
c4ec0980ac2130e3259e,What are some of the virtual reality trainers that can be used by cyclists?,0
4638178e3f4706f70524,"Which of these freelancing platforms (Upwork, Freelancer, Parttimerz) am I most likely to hire awesome Web developer? Don't mind paying above average",0
cd33e9c0f86a9db004c4,"Is it right to contract words (you're, isn't, I've, he's, etc.) in formal writing, in a business book for instance?",0
779867e0280945adec5e,Is it true that Earth supports human life but does not encourage it?,0
f10984fa79bd21c1a73d,How can I control my subconscious mind and my life?,0
960eae644ff9a53b9429,What were the 5 main causes of WWI?,0
3329d3716d134f991724,Is my family and I able to take my French Bulldog puppy on a one way flight from the U.K. to Los Angeles?,0
7b13cd134d32e1b0832f,When did you realize you were an atheist?,0
93e1fbc2339bf66630c0,What is it about the French that makes their lives sizzle whilst maintaining style and class?,0
b76dda3423e114a68b57,How can you prevent pelvic pain at 40 weeks pregnant?,0
94eb66bd4f0d5ecde9e1,What good film has the word 'Kingdom' in the title?,0
002ab20672f84081804a,"If I delete my Quora account, can I use the same email address to create another one?",0
75a5e77377da686a948a,Salient features of democracy?,0
df292cded30e44992219,Will the proposed lateral entry into the Indian Foreign Service undermine the prestige and position of the directly recruited officers?,0
7285123139990626c87d,What are the reasons for male suicide?,0
4fa43cbd5d7bd8158b94,What are Nic Rouleau's major accomplishments as an actor?,0
ea78ca5940c73c486d5d,When will admissions start in UIET Panjab university?,0
d26a3b5974e07701bd3f,Why does she like my post on Facebook but still doesn't pick up my calls?,0
ca5e400773da9a26813e,What all are best school for child for 1st standard in India. Where education is main focus not money?,0
ae49bb83d3a657f00d46,Which software should I start practicing first for learning machine learning? Ps: I am a beginner,0
d88918803e34bc48b236,"Why do people get married if most of them end in divorce, besides religion? Can't you have kids and just stay together?",0
b14fb185ea8212eb228e,Do people perceive fairness in pizza delivery services?,0
bb82b6b8ccbeb347d410,"Why do people say that schools should be allowed to search students phones, if many of them have passcodes?",0
209e1d3974541807c380,What is the fuel economy for Tesla Model S?,0
7575a71d9f6a4d9ef669,"If homosexuality isn't contagious, then why do I always have homosexual thoughts whenever my friend takes his shirt off?",0
568f2aaf43b961151599,"Which university is better for pursuing Physics (as undergraduate), Purdue or UCSD?",0
56f955d7384ca74fb218,For what reasons do you usually upvote an Answer on Quora?,0
5906fc915be6133ca64b,What would happen if there would be no such thing as religion anywhere?,0
0597bf44beb331284801,What is the treatment for a ruptured cyst in your stomach?,0
029bf410d36f31c11c65,What methods can we use to maintain concentration while studying and how to remain focused despite the worldly distractions?,0
c505f393c6eeab7de319,Why doesn't Limp Bizkit tour in the United States?,0
3054ad8fa825bc28ac25,What is the difference between dark coloured & light coloured objects in terms of absorption & radiation of heat?,0
5f2ffd3bee660e612e6b,What are some ways for getting rid of moths?,0
8a1613f4086f9c10ff6c,How effective is Berocca?,0
9b71b24d1af97d9b685c,Where is the centre of safety courses?,0
e0414550499f5b1caf88,Why is Uttar Pradesh undeveloped despite having vast resources?,0
c120265fc7636ef38d35,Is President Donald J. Trump a Christian?,0
c4eb64655f4159820ad1,Can neurotypicals have cognitive empathy and affective empathy?,0
80cb327283d4b4974098,What are the best ways to measure and improve productivity at startups?,0
e4584d53162f8eeff44a,Is retirement by age a polite way of saying prepare to die?,0
244731e0351fed30fcbd,"Is there online any entertainment fit for mature, intelligent adults?",0
e3ed28954f5d3fc122b1,"Why is knowing the position of contraflexure important for designing bridges, beam, reinforced concrete, etc?",0
ad129b064496d2e4d4a0,Does higher protein intake benefits bone health in seniors with osteoporosis?,0
ada12198e80219d0ecc9,When did ayyappa Swamy born?,0
0029912ec19eab703bc0,Are all anti-missile systems THAADs?,0
a5ee8aa929052ec3ce47,What is the ontological argument that proves the existence of God in simple terms?,0
9ef508c7308bc05f0811,Will I get seat in VIT after scoring 96000 rank?,0
95540f1c333011f0a281,How are the different forms of electricity used?,0
53728e167af5b764c663,"How come most Greeks today are like Tsipras, they hate war?",0
5141662a7a846166e063,Tibco process gets stuck without any error logs.Is this anything related to thread size?,0
b69fdb1f2b65ded7cfe1,How can one increase his positive thinking skills?,0
dd1d43ada9de44fa565e,How is life at Harvard?,0
87a73627c971cc27a82d,Do they speak good Spanish in Valencia?,0
197688138dee660c273a,What invention or discovery improved human life the most?,0
3db946050503ff45a3b9,"What are some good Indian mutual funds (or ETF) that invests in foreign equity? Also, what are the good fundamental equity market overseas?",0
6890c9a09ac1f744c0b0,Does everyone in India in every field do overtime at work? And how much?,0
791239c63407b16da3af,How exactly are Pym Particles supposed to work?,0
15fd50d7d5e3f054762a,How was Harry & David established?,0
c81500088abc68b05689,What colleges and branches will I get if I score 158 in JEE advanced 2017?,0
d5fe92ec00a5d8c6cb0a,Does 21st Century Fox have to pay a penalty should it decide to accept Comcast's bid in favor of Disney's?,0
466bbf342eea74c0266f,"I'm babysitting 4 boys for a bunch of days in the summer. What activities can I do with them? They are 6 years, 4 years, 2 years and 14 months",0
5b7ecba5f8129403cb04,What is the full form of NET?,0
d8d141a184d97e6d0bc5,Why can't I pay for Instagram?,0
0f691256d1963afc03f1,How I can play halo 2 on PC?,0
e746f1ab83281cea5c8a,How do internal characteristics of democratic states influence their external behaviours?,0
42e5b62ee57eaa8f26f5,Do Bitcoin Malaysia have a trade benefits?,0
c8c0314c802b21e6f499,What category the businessman falls? Self employment or wage/regular employment?,0
1c6e63650f97137efdf3,Can anyone elaborate more about mercury engine's working principle?,0
b877ef68985b09f54862,What are the sources of getting Bengali movie reviews?,0
3e44c256b6eb8ce2cc58,What is causing my hands to hurt all the time?,0
2d24a84f1ae3a88a1043,"Put aside the climate conditions and all external factors, what should I grow on my land that is relatively rare and can get me good margins?",0
937320175abbca5300de,All martial arts of the world is originated from kalaripayattu?,0
18767506efbd162c2e3c,What good documentaries about cooking can you recommend?,0
55eeee3357a17a0caaa0,What distinguishes Skai Jackson's acting style?,0
1f40e3170eb2ac9b1ef5,"What's the best career route you can take with a degree in Civil Engineering? By best I mean, least soul destroying, decent salary and future proof.",0
44c4cdaf573e3c32027c,Who created BookMyShow app?,0
f722047cc72adf36a787,Is it worth to do SAP course after 12 years of experience in manufacturing?,0
e5b6639f639f1eeec2ef,Can I become CS without math and economics?,0
15a6d8a0a2c8797bb807,How was power gained and maintained during the French Revolution?,0
676ac209fcb272f2327d,Why does your mouth open dying?,0
9df886a4312a9739d0b4,How can you reduce anxiety when meeting new people or giving a speech?,0
dbdf09139745aa513568,Where can I get acoustic doors for my home?,0
59ad451c194e0d0e4cef,"Who would win, several little vampires vs several wereanimals?",0
078c3516594f520255ee,What kind of problems can be solved with inverse reinforcement learning?,0
6608f3170ccad36ac808,Is downloading copyrighted books worth a fortune for free using TOR browser considered illegal?,0
535343be1c8f75eb7c28,Why does 3D look 3D?,0
cc37aa834dbaa11101d4,Which institute provides big data Hadoop training in Delhi?,0
a3f5a31e97e899db1580,What's the hardest bug you've debugged in RTL Verification?,0
03bc161315fac4020ea7,How is a penectomy surgery performed in a hospital?,0
b13f406ee938b79afc99,Does front wheel drive have differential?,0
652fd50a01a45c30dca5,How did Eileen Catterson begin her career as a professional Scottish fashion model?,0
94ab07c322ac0aa020e9,What are some facts about selective breeding?,0
e7468901cfd065e22731,Do tillandsias hurt the trees they grow on?,0
83aefc4b9f74e8852209,What minerals are inside a DS cartridge circuit board?,0
533b3fb1307cb889f23c,"What is something that bothers most people, but doesn't bother you?",0
9b52707ce7d99a4861e2,Do website owners get paid daily or monthly?,0
af04614ab664eed0122f,I am currently pursuing BBA IB from SPPU. How much aggregate % in 3 years should I get that would help me to get admission in SIBM Pune/IIM?,0
41878076904bdba63587,What are some of the recent trends regarding CSR in India and across the globe?,0
bac5f5d51c6848fa8438,"How do you make an app/website with someone that wants to keep features to the absolute bare minimum (like one or two features tops)? For example, how do you convince them to add more when they ignore customer requests?",0
4ebb54eb9e863397ea90,Is Maruti 800 going to relaunch with same design?,0
29ceff361aea5789e68e,How do I take CPT registration number direct from ICAI Chennai?,0
593905078ba4bb2552f7,Which of Lee Kuan Yew's memoirs should one read first?,0
1fc05fee458c38768a90,What is an acceptable bounce rate for the homepage of a news site?,0
5ebc7004ebe93d7aa73c,"Which time do we prefere to study, during the day or during the night?",0
ec2374fff6c01e4ef54c,Are there any rich farmers in America over 70 looking for wives?,0
5d3fb0c3d6fe6ac9ea87,"How do you start fighting for your life, even though it's giving on you?",0
7cb42dd4d38d529edded,What is alginate powder made of?,0
c91e999bff96dbf5efed,Can a nuclear reactor power a space ship?,0
7be090fa860670df30c3,Who are some best history of rockets experts who are alive (apart from Frank Winter)?,0
491f3a810636fd563a6b,"What advice would you give to someone who is moving to Zhucheng, China?",0
15743038e14757b54870,Is Donald Trump essentially a product of the two party system?,0
3563db290d01c5dd090f,I am from 2015 passed out batch. Now this is 2018 year. Is it possible to get a job from Elitmus?,0
9bd67ee840b6e1f6c4df,What are the best stock trading websites?,0
efed64c67431b9581227,How can an urinary tract infection affect other organs?,0
56aa74127ca5274379ed,Is their any place where we can find the updates from different providers about Meltdown & Spectre?,0
85507fca9d185fef16fd,What is your definition of a good day?,0
7cbe39b905262d56ca17,Is it earier to transfer to Dwight Look Engineering in Computer Science or Mays Business School in Management Information Systems?,0
81ca1205323e73b7588b,Pagination. How do I show only 5 of the pages instead of all the pages?,0
a153a3176b002f4048d7,How would a war between Russia and the United Kingdom play out if it was declared early 2019?,0
0c13feb46f0687e01c32,What do I need to start learning computer programming language?,0
9f0a25f8b5d859719f05,What is the atomic number of sodium?,0
81e2a05cdd6ea4ea3528,12÷2 (6-7+4) ×2=? What is ans.,0
8e72764c9d71c210579b,What is Global Kitchen appliances market 2016-2022?,0
f49f4e9fbdc25d4fc702,Am I able to buy over the counter drugs without a prescription?,0
e6993ba8e205b0b85969,How can a brilliant boy get help from prime minister who is spoiled to stay in his own family?,0
78b714a53894709840c0,"Why is the tax to be paid for converting commercial vehicle to private is for 15 years, when one has already paid taxes when using it as a cab?",0
dcfd2ecfbedd859e0ec1,How difficult is it to create a successful business in Russia?,0
b69ca8eb5a8f6a79603f,Which is more reliable of Experimental probability and theoretical probability?,0
0ae4d89994f0713c882d,Is possible to reduce myopsis by lowering lens gradually?,0
0d08d9fde0e598dad128,Why cannot I access Internet on Kali Linux when Anonsurf is enabled?,0
6b890c9ad4e5a24d670f,"If people are pronouncing a street name in different ways, how do you decide which is the correct pronunciation?",0
3dbbf0756efd1d8b947b,How do I block an IP address from viewing my website?,0
24589f37b0147a8d8574,What is UDL?,0
eaa2f9b62293787dd4fe,Does filling out an online petition do anything or are you just suckered on to their email list?,0
0a8e63732e646807f47e,What were the negative effects of the Cayuse War?,0
e6be5eddea608b8d88ce,What are the best interiors designing firm for homes in Banglore?,0
d305e0abfaeb90d62fef,Should a belief system that condones violence against others not holding those beliefs be allowed to exist as free speech?,0
31e0c0512b1f7603b381,"How can I control my short temper and be mature? People say I fight alot, I want to become better.",0
952e5048c79c45996eca,What are some ski tricks for beginners?,0
b79e6a140b9398a88682,Can person come back and survive in India if he has already worked in Germany for 2 years or so?,0
a83ed8ed70ba84d453c4,"If Sherlock Holmes had grown up in a poor area, without a fortunate background and he couldn't be a detective, what career would he be involved with?",0
fd21e6d090ef57c1e58f,What are some useful tips to improve my polystyrene carving?,0
c98913746dba3a377b7f,"If someone says that they love you, then why would they always treat you like crap?",0
6352a5a4949fdaa881f6,What does it mean when you talk louder than usual when passing your crush?,0
e591579a9eaaed013b8d,"I've just got this wound over my mouth and I'm afraid it'll scar, will it scar?",0
b2f031b297c1056ed1b9,"Which one is more cost effective in South Africa, running a webinar or having a Skype conference?",0
3072d1a22bdde8987f29,How a student (agri) can earn money online in India on parttime basis?,0
2e4a42563867ead3e3d1,What is an epistemological position?,0
3c72eeba2d878bdc28da,Which is the best music band in Kolkata to see live?,0
8f9c1836527925115a49,What is the most heroic siege in European history?,0
e06816cc95940e5dfe2e,Who would be so stuped to believe in this madeup story?,0
2f203f84a78e4444dd84,Can you guide me to become successful person?,0
8a288901b5b753663589,What is the Military Police Occupational Specialty training course for Marines?,0
78c47f5989cc36e60e09,Is there any difference between a chiropractor and a physiotherapist?,0
99b37030b67ade683269,What is served in special mess at SRM?,0
fd6912a2dab3fe804744,"What could have been done differently to outsmart or defeat the High Sparrow and have Cersei, Margery and Loras released?",0
17665ab6ca072754c1e2,What is the approximatr number of gasoline generators are consumed across the globe?,0
996116791c30b5db80e0,What are the differences between the first dishes and the main dishes? And what are the representative dishes of each one?,0
1f7128300bd550b39dff,Why do young people here constantly value intelligence and ignore kindness?,0
ee1c4762f1a943b7427b,Who is winning in Syria?,0
19b39dee556947aa5145,How do I get back on work immediately after daily heavy gym session?,0
39e2835a8c620cc97def,What does it mean if you dream of a dead brother dying again?,0
e24df79e22eaad6dcdb7,Have you every seen god?,0
78fe2a48e866b9ca814e,"What can I do in Majorca, Spain?",0
02bbb024e54549a55352,What is your travel playlist?,0
68523a2b2dffd10bc6ba,Which is better hikvision or CP plus?,0
e8c096631037d1632ada,How can I see what do I have stored on iCloud?,0
cd994f46d402df85c32d,Which are the most difficult countries in the world to do business with (behaviour/manners/culture)?,0
1ab039644373f8913b2d,How is human service related to community development?,0
884d6281dde41c1de456,"Why is it offensive to use transgender, black, or gay as nouns, but not theist, psychopath, or lesbian?",0
258905845fa3f0af4d30,What are some good creative interior ideas for women salon?,0
5c38279ea52fd479aab0,Why did my male Ryanair steward have a feminine voice?,0
91d334048846fea5e849,What is the secret way to always get the right scales on a graph?,0
9933caad727ea7afdf41,Is there a way to shot a bullet without a gun?,0
209fca751de9792ffa95,What is the impact of signal detection theory in mathematics?,0
f4c5b7d9a219cce3f089,What was the Nazi propaganda like?,0
99c223806f0f9f8716b6,What are the advantages and disadvantages of the Japanese system of government and economy?,0
92a5fba4175ea6bb1e4f,Which is better: Pepperoni or chicken?,0
f48b2a38f5a79aa47515,What person inspired you to have a positive outlook on life?,0
b368f6b26a84eaf90c74,What are best SIPs to invest in 2018 India?,0
4fe74b2a0e02455cae64,Can the Plan B pill cause you to miss your period?,0
7844e517dd730118ceec,Why is GitHub CEO Chris Wanstrath stepping down (August 2017)?,0
0bf7b11d581ba0d0f309,How do I create a simple diagramming tool using JavaScript that allows users to draw diagrams based on some predefined shapes?,0
5b9e0a3959848a10bea1,Which are some free services that are actually useful?,0
7a34c54d52cff8fe6e4a,How much money can a YouTuber get without ads?,0
f38960dd94663aa153db,What happens when actual bad debts are more than the allowance created for them from accounting perspective?,0
fa132475d7d8682a9e4a,Does the ancient alien concept really has existence?,0
fc2764c6a4857c723c5f,Why would someone talk about taking a Porsche and train to Manhattan? Disgusting your offspring will pay for your karma. Natural laws.,0
dbebf4f3170f4ee4bb63,"What is a good analysis of the book ""Amanda in Spain"" by George Revelli?",0
841d700ce3bdcaf86af5,In Orange County CA can an 18 year old buy a gun?,0
5cf7c3a00503727105bb,What is the manufacturing process of Airwalk snowboards?,0
d577a7bacbdc8a0fbc34,Were there any need rappers?,0
53ffe34080ae3be17854,What is your advice for someone planning to apply for SWE internships who does not have any prior related experience?,0
f639519391ef76d9deaa,Why do some children feel they are superior to the adults around them?,0
ec56ec7ba69f39ccb222,At what age does sex desire starts to disappear? I am a male 27 years old and for the past 3 weeks my body and mind doesn't ask for it,0
8fecf9e08366ef795c94,What's the benefit of doing the bridge course for MBBS after BDS?,0
25924a172f89496f5e06,Which are some of the best universities in Netherlands for MS in industrial engineering or engineering management?,0
04dc3c3a20448fea72bd,What is the average life expectancy of the Toyota Corolla?,0
8119fe1ca15945dd8168,I read a lot of questions on Quora but imagine everyone has already answered better than I could? Should I still add my comments?,0
fe24d5d7e4c26fa1c0f5,Why do you think that the United States is not mentioned in Revelations?,0
f93d13effdc177bcf56e,I don't like to cry with other people around as I don't want to be bombarded with pity and being asked am I okay. Is it normal to act this way?,0
8599b273916b3af4a3af,What is the use of templates in AutoCAD or any drawing software?,0
09e1631f04fc08c4c564,"Why does the noun ""headache"" have a plural form?",0
f74bf50199f1ca89d55d,How many courses are there on hacking?,0
5bbfa5d89835f84d06b1,Why are gun control statistics so deceptive?,0
242b367b577e3505be2c,How do you get ink out of carpet without damaging the carpet?,0
7f78c43211b84be06ad5,"Have you ever read the short story/novel ""Flowers for Algernon""? If so, what are your thoughts on it?",0
3b448c26c2e738e2969a,What are root and bound morphemes?,0
f659363f21e63b90d818,What point is the threshold for when turbulence will actually become dangerous for a modern jetliner? And does the fact that the turbulence occurs in a clear sky or in a cloud make any difference in the danger levels?,0
4d734d57219766797d12,"If you delete someone on Snapchat and then try to re-add them, what does it mean if they have “accept” next to their name instead of “add”?",0
145359a3237ce63efce4,What is the meaning of bibliognost?,0
a853d897f22f4644bfc6,"By the time a medical student graduates from medical school, about how many medical terms would they have memorized/learned?",0
0aae8cc1ccc6ba1c1233,What is the provincial tree of Balochistan (Pakistan)?,0
3c35880c8c10989ecdab,Can I run Excel for Windows on a Mac without installing Windows on the Mac (using Wine or similar)?,0
b884a4f5cb50e54c2af1,"I’m 17, at what age and income should I start to consider investing?",0
7b669c6b9603035d1752,What's the biggest cause of the climate change?,0
ff4d7e9f086ff83b97ec,What are some quick and healthy breakfasts for a growing teen?,0
8c1a6dcd90893eb2e57e,What is the most startup-friendly country in Latin-America?,0
9d189874645718d35737,What types of questions or responses on Quora provoked your most negative response?,0
b48ea011d5e3f27c4f0d,When you travel abroad do you focus on breadth or depth?,0
e9a740a0bf4891b0f2cf,What is the difference between a majority win and a plurality win when taking a vote? Are they both fair methods when voting?,0
21725486a02b709fa059,Which exams one has to qualify in order to get admission into IUCAA (Inter-University Centre for astronomy and astrophysics) and which courses do they offer?,0
540cd0fa91f80478fbd3,What's the most boring thing about your job?,0
543c1b883f201874b2fe,Mary would not go to the market unless I go with her? What is the improvement to be done here and why,0
17260790e45757875c9e,Do you think universities can survive the digital revolution such as MOOCs? Why?,0
c81dc1bb4ed54a228433,What is the last thing humans have to accomplish?,0
e3da79c3bcf40a875fbf,Can I install OTA update on my rom?,0
e6d4a1f533f1b2292799,What is the meaning of the term 'complex manufactured goods'?,0
ca7edef54af86db20eb1,Who is the biggest actor in the world?,0
a79068b847f3cd04602a,What are your favorite novels and non fiction books?,0
fc87bd79bb1c0f1e02ac,: What could be the things one can gift to a guy (would be husband as the meeting is arranged by the parents) on their first meeting as they are talking to each other since 4-5 months?,0
b9db24024c7d3285eb33,Why do people think they know what others are thinking?,0
b680daf8c551d40fd853,Why do octopuses have to die shortly after mating?,0
a56810b196eed3055a5f,What is the most output in algorithm?,0
b5aa19bde54385cedf85,What are some similarities between pre-21st century and 21st century international politics?,0
d17e192855b2de08f0f5,Have you experienced hair loss from anti-HIV medication?,0
9f98b0d7cf7d6853766c,Do you have a scary experience that you’re willing to share?,0
a69fa8d52af68067aeff,Is it possible to learn piano online for free?,0
b9b00ba14c9ed52de62c,"Why were evil characters, such as Arthas and Garithos, able to use the Holy Light to heal people, despite being evil?",0
1a04178f29ad133542fe,Where can I get a T-shirt for moms with motivational quotes?,0
7dd0e1a8daf5c87b35bf,What is the importance of germination in biology?,0
74fd7f72e77499d4b987,How are eastern dharmas different from abrahamic religions?,0
623bd12f0909135ec41e,What should I do about unauthorized transactions and probable identity theft?,0
dd5256e89f6ff7e247c0,"No colleges seem to stand out to me, how do I decide which to attend?",0
78754da9d05ad53e4e2e,Which Indian listed firms manufacture sensors?,0
afa1e4540ca7c995d745,How can my friends sees me playing video games from their computer screen?,0
18f923d2bab1479a62db,"What is the process in buying an apartment in Scotland as well as all the cost? What is the average cost running an apartment, food, heat. Etc.",0
640449b5507113a6d8a6,Is there any ancient civilization which followed atheism?,0
77cbc744490088d15d51,What qualities are desirable in a blanket?,0
a4936bf04fd6a4eb2e36,"How long will it take the US Embassy in Paris to review the answer email? Note that I already had my interview and being under administrative processing for over a month now, all documents asked during the interview were submitted the next day.",0
b38e573b2404629f7ae6,Has the Democratic party moved too far to the left?,0
7274d3c69032ef3cc8f6,Can remote detonators for explosives transmit underwater? Why or why not?,0
173605b3a3da5804ec84,What are some reputable talent agents in Florida for film actors living there?,0
44d9c6a7596b22496778,Why have you made my Yahoo email hard to get my emails in to my new account?,0
cce158e512c08c8be36d,Have you ever felt like you are stuck in a never ending loop?,0
12c781e26341c9527271,How are you Dajung?,0
3476ebdc4190257304cf,How do I practice effectively for just about anything?,0
3df4cd5ed5d8ba9cbdd1,"In investment banking, does trading or M&A get paid more in New York? What are the rough numbers as you get more experience?",0
45a612fedd7dbfca8ec3,Where can I see the Amazon hardware launch event that occurred earlier today?,0
bc2d6568ea7dd65cf37e,Is tanning a little bit in the summer really that bad for you?,0
d80cae11067165b5746a,Which government recruitment exams can I write being a final year student?,0
7c6bc880f00d5edf8677,How Manipal entrance rank is determined?,0
e43638c60687fe6ec932,"""Maintained a residence continuously in the state for 12 months immediately preceding the census date of academic semester"" what does it mean?",0
837ffd88ea384c464692,What are some cool and mindtwisting movie lines?,0
77d5fa5be48386b54cd8,What is the best and most simple mechanism to lift a big plastic and air-filled ball (100 kg) up to a height of 5 meters?,0
a3074431c7473c296718,What are the best mobile deals on Flipkart/Amazon sale?,0
7dec7fc36a0adbb1af1b,Would life insurance pay out on a death from a pre-existing but unknown condition?,0
58ba93e85a8ce93a88a8,Malayan Culture: why are Javanese and Sundanese music unsuccessful to be commercialized and enter to pop music world like Malay music?,0
